Name,Price,Old Price,Discount,Rating,Number of Reviews,Search Ranking
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black","KSh 22,300","KSh 35,000",36%,4.5 out of 5,4.5 out of 5(38),"Page 169, Rank 19"
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,"KSh 5,839","KSh 11,449",49%,3.7 out of 5,3.7 out of 5(51),"Page 169, Rank 20"
"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 10,998","KSh 19,888",45%,4.5 out of 5,4.5 out of 5(60),"Page 169, Rank 21"
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White (1YR WRTY)","KSh 12,080","KSh 14,000",14%,4.3 out of 5,4.3 out of 5(39),"Page 169, Rank 22"
"XIAOMI Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh AIR 10","KSh 16,750","KSh 30,000",44%,4.6 out of 5,4.6 out of 5(9),"Page 169, Rank 23"
"Samsung GALAXY A15, 6.5'', 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue + Smart watch & Power Bank","KSh 18,199","KSh 29,999",39%,4.1 out of 5,4.1 out of 5(99),"Page 169, Rank 24"
"Oppo A17k, 6.56"", 64GB + 3GB RAM (Dual SIM), 5,000mAh, Navy Blue (2YRs WRTY)","KSh 10,863","KSh 14,999",28%,4.3 out of 5,4.3 out of 5(123),"Page 169, Rank 25"
"Oale POP 8 - 6.6"", 128GB (64GB ROM + 64GB SD Card), 3GB RAM, 8MP, 5057mAh, 3G - Black","KSh 7,990","KSh 12,000",33%,4 out of 5,4 out of 5(13),"Page 169, Rank 26"
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Crystal Green","KSh 10,000",,,4.8 out of 5,4.8 out of 5(5),"Page 169, Rank 27"
"Infinix HOT 40i,5000mah,(4GB RAM+128GB ROM) 50MP,TYPE-C,+BUDS WATCH","KSh 13,299","KSh 20,000",34%,4.1 out of 5,4.1 out of 5(211),"Page 169, Rank 28"
XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM NB8,"KSh 13,870","KSh 25,000",45%,4.2 out of 5,4.2 out of 5(6),"Page 169, Rank 29"
"XIAOMI Redmi A3, 6.71"" Display 4GB RAM + 128GB 5000mAh (Dual SIM) - Black + Free gifts","KSh 11,499","KSh 19,999",43%,4.5 out of 5,4.5 out of 5(23),"Page 169, Rank 30"
"Tecno Pova 6 Neo 6.78""FHD+, 256GB+8GB RAM, 50MP, 7000mAh-33W Super Charge- Speed Black","KSh 24,999",,,4.4 out of 5,4.4 out of 5(15),"Page 169, Rank 31"
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP, 5000mAh - Silver","KSh 14,850","KSh 22,999",35%,4.4 out of 5,4.4 out of 5(42),"Page 169, Rank 32"
"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim","KSh 4,700","KSh 7,499",37%,4 out of 5,4 out of 5(4),"Page 169, Rank 33"
"Tecno SPARK 20,6.6 HD+,90GHZ REFRESH RATE,50MP,UPTO 8GB RAM,128GB ROM,DUAL SPEAKERS+WSP","KSh 15,299","KSh 20,000",24%,4 out of 5,4 out of 5(65),"Page 169, Rank 34"
"Tecno POP 8, 6.6"", 64GB +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Gravity Black (1YR WRTY)","KSh 12,000",,,3.5 out of 5,3.5 out of 5(2),"Page 169, Rank 35"
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Lime green","KSh 7,000",,,3.8 out of 5,3.8 out of 5(11),"Page 169, Rank 36"
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black (2YRS WRTY)","KSh 23,450","KSh 30,000",22%,4 out of 5,4 out of 5(61),"Page 169, Rank 37"
"Infinix Hot 40i, 6.78""HD , 128GB ROM + 4GB RAM (Dual SIM), 50MP, 5000mAh - Horizon Gold.","KSh 12,545","KSh 23,999",48%,4.1 out of 5,4.1 out of 5(72),"Page 169, Rank 38"
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue","KSh 23,000",,,4.8 out of 5,4.8 out of 5(9),"Page 169, Rank 39"
"Tecno POP 8, 6.6"", 64GB ROM +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Mystery White (1YR WRTY)","KSh 9,999","KSh 12,000",17%,,,"Page 169, Rank 40"
"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black  (2 YRs WRTY)","KSh 11,000",,,4.1 out of 5,4.1 out of 5(220),"Page 170, Rank 1"
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black(1YR WRTY)","KSh 12,925","KSh 15,000",14%,4.4 out of 5,4.4 out of 5(135),"Page 170, Rank 2"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Mystery White (1YR WRTY)","KSh 10,000",,,4.2 out of 5,4.2 out of 5(151),"Page 170, Rank 3"
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP Camera, 5000mAh, Black","KSh 14,000",,,4.5 out of 5,4.5 out of 5(29),"Page 170, Rank 4"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Starry Black","KSh 10,000",,,4.3 out of 5,4.3 out of 5(249),"Page 170, Rank 5"
"Samsung GALAXY A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black","KSh 17,445","KSh 29,999",42%,4.2 out of 5,4.2 out of 5(420),"Page 170, Rank 6"
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP, 5000mAh - Black + Smart Watch & Buds","KSh 13,899","KSh 22,999",40%,3.9 out of 5,3.9 out of 5(116),"Page 170, Rank 7"
"XIAOMI Redmi 13C, 6.74""  8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Midnight Black + Free Gifts","KSh 16,899","KSh 29,999",44%,4 out of 5,4 out of 5(151),"Page 170, Rank 8"
"Tecno Spark 20, 6.6'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Cyber White","KSh 14,399","KSh 25,999",45%,4.1 out of 5,4.1 out of 5(198),"Page 170, Rank 9"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Luxurious Gold","KSh 10,000",,,4.2 out of 5,4.2 out of 5(111),"Page 170, Rank 10"
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Shiny Gold","KSh 10,000",,,4.6 out of 5,4.6 out of 5(9),"Page 170, Rank 11"
"Tecno Spark 20C - 6.6'' - 256GB HDD + 4GB RAM + (8GB RAM Extended) - 50MP Rear/8 MP Front, 5000mAh 18W -Gravity Black","KSh 13,499","KSh 15,999",16%,4.2 out of 5,4.2 out of 5(52),"Page 170, Rank 12"
"Samsung Galaxy A15, 6.5'' Display, 4GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue(2YRs WRTY)","KSh 17,445","KSh 29,999",42%,4.3 out of 5,4.3 out of 5(233),"Page 170, Rank 13"
"Samsung Galaxy A05s, 6.7"", 64GB + 4GB (Dual SIM), 5000mAh, Black","KSh 13,599","KSh 13,999",3%,4.6 out of 5,4.6 out of 5(26),"Page 170, Rank 14"
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black  (2 YRs WRTY)","KSh 15,000",,,4.8 out of 5,4.8 out of 5(17),"Page 170, Rank 15"
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange","KSh 23,000",,,4.3 out of 5,4.3 out of 5(11),"Page 170, Rank 16"
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP, 5000mAh - Black","KSh 14,800","KSh 22,999",36%,4.3 out of 5,4.3 out of 5(51),"Page 170, Rank 17"
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 7","KSh 9,999","KSh 20,000",50%,4.5 out of 5,4.5 out of 5(41),"Page 170, Rank 18"
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black","KSh 22,300","KSh 35,000",36%,4.5 out of 5,4.5 out of 5(38),"Page 170, Rank 19"
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,"KSh 5,839","KSh 11,449",49%,3.7 out of 5,3.7 out of 5(51),"Page 170, Rank 20"
"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 10,998","KSh 19,888",45%,4.5 out of 5,4.5 out of 5(60),"Page 170, Rank 21"
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White (1YR WRTY)","KSh 12,080","KSh 14,000",14%,4.3 out of 5,4.3 out of 5(39),"Page 170, Rank 22"
"XIAOMI Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh AIR 10","KSh 16,750","KSh 30,000",44%,4.6 out of 5,4.6 out of 5(9),"Page 170, Rank 23"
"Samsung GALAXY A15, 6.5'', 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue + Smart watch & Power Bank","KSh 18,199","KSh 29,999",39%,4.1 out of 5,4.1 out of 5(99),"Page 170, Rank 24"
"Oppo A17k, 6.56"", 64GB + 3GB RAM (Dual SIM), 5,000mAh, Navy Blue (2YRs WRTY)","KSh 10,863","KSh 14,999",28%,4.3 out of 5,4.3 out of 5(123),"Page 170, Rank 25"
"Oale POP 8 - 6.6"", 128GB (64GB ROM + 64GB SD Card), 3GB RAM, 8MP, 5057mAh, 3G - Black","KSh 7,990","KSh 12,000",33%,4 out of 5,4 out of 5(13),"Page 170, Rank 26"
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Crystal Green","KSh 10,000",,,4.8 out of 5,4.8 out of 5(5),"Page 170, Rank 27"
"Infinix HOT 40i,5000mah,(4GB RAM+128GB ROM) 50MP,TYPE-C,+BUDS WATCH","KSh 13,299","KSh 20,000",34%,4.1 out of 5,4.1 out of 5(211),"Page 170, Rank 28"
XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM NB8,"KSh 13,870","KSh 25,000",45%,4.2 out of 5,4.2 out of 5(6),"Page 170, Rank 29"
"XIAOMI Redmi A3, 6.71"" Display 4GB RAM + 128GB 5000mAh (Dual SIM) - Black + Free gifts","KSh 11,499","KSh 19,999",43%,4.5 out of 5,4.5 out of 5(23),"Page 170, Rank 30"
"Tecno Pova 6 Neo 6.78""FHD+, 256GB+8GB RAM, 50MP, 7000mAh-33W Super Charge- Speed Black","KSh 24,999",,,4.4 out of 5,4.4 out of 5(15),"Page 170, Rank 31"
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP, 5000mAh - Silver","KSh 14,850","KSh 22,999",35%,4.4 out of 5,4.4 out of 5(42),"Page 170, Rank 32"
"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim","KSh 4,700","KSh 7,499",37%,4 out of 5,4 out of 5(4),"Page 170, Rank 33"
"Tecno SPARK 20,6.6 HD+,90GHZ REFRESH RATE,50MP,UPTO 8GB RAM,128GB ROM,DUAL SPEAKERS+WSP","KSh 15,299","KSh 20,000",24%,4 out of 5,4 out of 5(65),"Page 170, Rank 34"
"Tecno POP 8, 6.6"", 64GB +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Gravity Black (1YR WRTY)","KSh 12,000",,,3.5 out of 5,3.5 out of 5(2),"Page 170, Rank 35"
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Lime green","KSh 7,000",,,3.8 out of 5,3.8 out of 5(11),"Page 170, Rank 36"
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black (2YRS WRTY)","KSh 23,450","KSh 30,000",22%,4 out of 5,4 out of 5(61),"Page 170, Rank 37"
"Infinix Hot 40i, 6.78""HD , 128GB ROM + 4GB RAM (Dual SIM), 50MP, 5000mAh - Horizon Gold.","KSh 12,545","KSh 23,999",48%,4.1 out of 5,4.1 out of 5(72),"Page 170, Rank 38"
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue","KSh 23,000",,,4.8 out of 5,4.8 out of 5(9),"Page 170, Rank 39"
"Tecno POP 8, 6.6"", 64GB ROM +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Mystery White (1YR WRTY)","KSh 9,999","KSh 12,000",17%,,,"Page 170, Rank 40"
"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black  (2 YRs WRTY)","KSh 11,000",,,4.1 out of 5,4.1 out of 5(220),"Page 171, Rank 1"
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black(1YR WRTY)","KSh 12,925","KSh 15,000",14%,4.4 out of 5,4.4 out of 5(135),"Page 171, Rank 2"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Mystery White (1YR WRTY)","KSh 10,000",,,4.2 out of 5,4.2 out of 5(151),"Page 171, Rank 3"
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP Camera, 5000mAh, Black","KSh 14,000",,,4.5 out of 5,4.5 out of 5(29),"Page 171, Rank 4"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Starry Black","KSh 10,000",,,4.3 out of 5,4.3 out of 5(249),"Page 171, Rank 5"
"Samsung GALAXY A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black","KSh 17,445","KSh 29,999",42%,4.2 out of 5,4.2 out of 5(420),"Page 171, Rank 6"
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP, 5000mAh - Black + Smart Watch & Buds","KSh 13,899","KSh 22,999",40%,3.9 out of 5,3.9 out of 5(116),"Page 171, Rank 7"
"XIAOMI Redmi 13C, 6.74""  8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Midnight Black + Free Gifts","KSh 16,899","KSh 29,999",44%,4 out of 5,4 out of 5(151),"Page 171, Rank 8"
"Tecno Spark 20, 6.6'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Cyber White","KSh 14,399","KSh 25,999",45%,4.1 out of 5,4.1 out of 5(198),"Page 171, Rank 9"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Luxurious Gold","KSh 10,000",,,4.2 out of 5,4.2 out of 5(111),"Page 171, Rank 10"
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Shiny Gold","KSh 10,000",,,4.6 out of 5,4.6 out of 5(9),"Page 171, Rank 11"
"Tecno Spark 20C - 6.6'' - 256GB HDD + 4GB RAM + (8GB RAM Extended) - 50MP Rear/8 MP Front, 5000mAh 18W -Gravity Black","KSh 13,499","KSh 15,999",16%,4.2 out of 5,4.2 out of 5(52),"Page 171, Rank 12"
"Samsung Galaxy A15, 6.5'' Display, 4GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue(2YRs WRTY)","KSh 17,445","KSh 29,999",42%,4.3 out of 5,4.3 out of 5(233),"Page 171, Rank 13"
"Samsung Galaxy A05s, 6.7"", 64GB + 4GB (Dual SIM), 5000mAh, Black","KSh 13,599","KSh 13,999",3%,4.6 out of 5,4.6 out of 5(26),"Page 171, Rank 14"
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black  (2 YRs WRTY)","KSh 15,000",,,4.8 out of 5,4.8 out of 5(17),"Page 171, Rank 15"
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange","KSh 23,000",,,4.3 out of 5,4.3 out of 5(11),"Page 171, Rank 16"
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP, 5000mAh - Black","KSh 14,800","KSh 22,999",36%,4.3 out of 5,4.3 out of 5(51),"Page 171, Rank 17"
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 7","KSh 9,999","KSh 20,000",50%,4.5 out of 5,4.5 out of 5(41),"Page 171, Rank 18"
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black","KSh 22,300","KSh 35,000",36%,4.5 out of 5,4.5 out of 5(38),"Page 171, Rank 19"
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,"KSh 5,839","KSh 11,449",49%,3.7 out of 5,3.7 out of 5(51),"Page 171, Rank 20"
"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 10,998","KSh 19,888",45%,4.5 out of 5,4.5 out of 5(60),"Page 171, Rank 21"
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White (1YR WRTY)","KSh 12,080","KSh 14,000",14%,4.3 out of 5,4.3 out of 5(39),"Page 171, Rank 22"
"XIAOMI Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh AIR 10","KSh 16,750","KSh 30,000",44%,4.6 out of 5,4.6 out of 5(9),"Page 171, Rank 23"
"Samsung GALAXY A15, 6.5'', 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue + Smart watch & Power Bank","KSh 18,199","KSh 29,999",39%,4.1 out of 5,4.1 out of 5(99),"Page 171, Rank 24"
"Oppo A17k, 6.56"", 64GB + 3GB RAM (Dual SIM), 5,000mAh, Navy Blue (2YRs WRTY)","KSh 10,863","KSh 14,999",28%,4.3 out of 5,4.3 out of 5(123),"Page 171, Rank 25"
"Oale POP 8 - 6.6"", 128GB (64GB ROM + 64GB SD Card), 3GB RAM, 8MP, 5057mAh, 3G - Black","KSh 7,990","KSh 12,000",33%,4 out of 5,4 out of 5(13),"Page 171, Rank 26"
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Crystal Green","KSh 10,000",,,4.8 out of 5,4.8 out of 5(5),"Page 171, Rank 27"
"Infinix HOT 40i,5000mah,(4GB RAM+128GB ROM) 50MP,TYPE-C,+BUDS WATCH","KSh 13,299","KSh 20,000",34%,4.1 out of 5,4.1 out of 5(211),"Page 171, Rank 28"
XIAOMI Redmi 14C 6.88'' 4GB 128GB Android 14 Dual SIM NB8,"KSh 13,870","KSh 25,000",45%,4.2 out of 5,4.2 out of 5(6),"Page 171, Rank 29"
"XIAOMI Redmi A3, 6.71"" Display 4GB RAM + 128GB 5000mAh (Dual SIM) - Black + Free gifts","KSh 11,499","KSh 19,999",43%,4.5 out of 5,4.5 out of 5(23),"Page 171, Rank 30"
"Tecno Pova 6 Neo 6.78""FHD+, 256GB+8GB RAM, 50MP, 7000mAh-33W Super Charge- Speed Black","KSh 24,999",,,4.4 out of 5,4.4 out of 5(15),"Page 171, Rank 31"
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP, 5000mAh - Silver","KSh 14,850","KSh 22,999",35%,4.4 out of 5,4.4 out of 5(42),"Page 171, Rank 32"
"VILLAON V20 SE 5.0"" 4GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim","KSh 4,700","KSh 7,499",37%,4 out of 5,4 out of 5(4),"Page 171, Rank 33"
"Tecno SPARK 20,6.6 HD+,90GHZ REFRESH RATE,50MP,UPTO 8GB RAM,128GB ROM,DUAL SPEAKERS+WSP","KSh 15,299","KSh 20,000",24%,4 out of 5,4 out of 5(65),"Page 171, Rank 34"
"Tecno POP 8, 6.6"", 64GB +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Gravity Black (1YR WRTY)","KSh 12,000",,,3.5 out of 5,3.5 out of 5(2),"Page 171, Rank 35"
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Lime green","KSh 7,000",,,3.8 out of 5,3.8 out of 5(11),"Page 171, Rank 36"
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black (2YRS WRTY)","KSh 23,450","KSh 30,000",22%,4 out of 5,4 out of 5(61),"Page 171, Rank 37"
"Infinix Hot 40i, 6.78""HD , 128GB ROM + 4GB RAM (Dual SIM), 50MP, 5000mAh - Horizon Gold.","KSh 12,545","KSh 23,999",48%,4.1 out of 5,4.1 out of 5(72),"Page 171, Rank 38"
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Elemental Blue","KSh 23,000",,,4.8 out of 5,4.8 out of 5(9),"Page 171, Rank 39"
"Tecno POP 8, 6.6"", 64GB ROM +3GB RAM, 13MP, 4G (Dual SIM) 5000MAh - Mystery White (1YR WRTY)","KSh 9,999","KSh 12,000",17%,,,"Page 171, Rank 40"
"XIAOMI Redmi A3, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Midnight Black  (2 YRs WRTY)","KSh 11,000",,,4.1 out of 5,4.1 out of 5(220),"Page 172, Rank 1"
"Tecno Spark 20, Android 13, 6.6"", 128GB + 4GB RAM(4GB Extended), 50MP, 5000mAh, Gravity Black(1YR WRTY)","KSh 12,925","KSh 15,000",14%,4.4 out of 5,4.4 out of 5(135),"Page 172, Rank 2"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Mystery White (1YR WRTY)","KSh 10,000",,,4.2 out of 5,4.2 out of 5(151),"Page 172, Rank 3"
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP Camera, 5000mAh, Black","KSh 14,000",,,4.5 out of 5,4.5 out of 5(29),"Page 172, Rank 4"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Starry Black","KSh 10,000",,,4.3 out of 5,4.3 out of 5(249),"Page 172, Rank 5"
"Samsung GALAXY A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black","KSh 17,445","KSh 29,999",42%,4.2 out of 5,4.2 out of 5(420),"Page 172, Rank 6"
"Samsung Galaxy A05, 6.7'' 4GB RAM + 128GB ROM (Dual Sim) 50MP, 5000mAh - Black + Smart Watch & Buds","KSh 13,899","KSh 22,999",40%,3.9 out of 5,3.9 out of 5(116),"Page 172, Rank 7"
"XIAOMI Redmi 13C, 6.74""  8GB RAM + 256GB ROM, 50MP AI Triple Camera, 5000mAh (Dual Sim) - Midnight Black + Free Gifts","KSh 16,899","KSh 29,999",44%,4 out of 5,4 out of 5(151),"Page 172, Rank 8"
"Tecno Spark 20, 6.6'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Cyber White","KSh 14,399","KSh 25,999",45%,4.1 out of 5,4.1 out of 5(198),"Page 172, Rank 9"
"Itel S23 6.6"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Luxurious Gold","KSh 10,000",,,4.2 out of 5,4.2 out of 5(111),"Page 172, Rank 10"
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Shiny Gold","KSh 10,000",,,4.6 out of 5,4.6 out of 5(9),"Page 172, Rank 11"
"Tecno Spark 20C - 6.6'' - 256GB HDD + 4GB RAM + (8GB RAM Extended) - 50MP Rear/8 MP Front, 5000mAh 18W -Gravity Black","KSh 13,499","KSh 15,999",16%,4.2 out of 5,4.2 out of 5(52),"Page 172, Rank 12"
"Samsung Galaxy A15, 6.5'' Display, 4GB RAM + 128GB ROM (Dual Sim) 50MP,  5000mAh - Blue(2YRs WRTY)","KSh 17,445","KSh 29,999",42%,4.3 out of 5,4.3 out of 5(233),"Page 172, Rank 13"
"Samsung Galaxy A05s, 6.7"", 64GB + 4GB (Dual SIM), 5000mAh, Black","KSh 13,599","KSh 13,999",3%,4.6 out of 5,4.6 out of 5(26),"Page 172, Rank 14"
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Midnight Black  (2 YRs WRTY)","KSh 15,000",,,4.8 out of 5,4.8 out of 5(17),"Page 172, Rank 15"
"Itel S23+ 6.78"", 128GB + 4GB RAM, 50MP Camera, (Dual SIM), 4G, 5000mAh - Energetic Orange","KSh 23,000",,,4.3 out of 5,4.3 out of 5(11),"Page 172, Rank 16"
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP, 5000mAh - Black","KSh 14,800","KSh 22,999",36%,4.3 out of 5,4.3 out of 5(51),"Page 172, Rank 17"
"Itel S23 6.6"", 128GB ROM + Up To 8GB RAM, 50MP Camera, 5000mAh+CELLINY 7","KSh 9,999","KSh 20,000",50%,4.5 out of 5,4.5 out of 5(41),"Page 172, Rank 18"
"XIAOMI Redmi Note 13, 6.67"", 256GB + 8GB RAM, 108MP, (Dual SIM), 5000mAh, Black","KSh 22,300","KSh 35,000",36%,4.5 out of 5,4.5 out of 5(38),"Page 172, Rank 19"
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Blue,"KSh 5,839","KSh 11,449",49%,3.7 out of 5,3.7 out of 5(51),"Page 172, Rank 20"
"Samsung Galaxy A05, 6.7''  4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 10,998","KSh 19,888",45%,4.5 out of 5,4.5 out of 5(60),"Page 172, Rank 21"
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White (1YR WRTY)","KSh 12,080","KSh 14,000",14%,4.3 out of 5,4.3 out of 5(39),"Page 172, Rank 22"
"XIAOMI Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh AIR 10","KSh 16,750","KSh 30,000",44%,4.6 out of 5,4.6 out of 5(9),"Page 172, Rank 23"
"Samsung GALAXY A15, 6.5'', 4GB RAM + 128GB ROM, DUAL SIM, 50MP, 5000mAh - Blue + Smart watch & Power Bank","KSh 18,199","KSh 29,999",39%,4.1 out of 5,4.1 out of 5(99),"Page 172, Rank 24"
